test_lect,test_mate,test_soc,test_nat,privateHS,wage,male,momschooling2,momschooling3,momschooling_miss,dadschooling2,dadschooling3,dadschooling_miss,broken_home1,broken_home_miss,incomehh2,incomehh3,incomehh_miss,north,center,share_private,avg_price
.6467378,.7018666,1.174177,1.152274,1,7.7435984,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.7391304,.21390388
1.081994,.918354,1.014248,.4151736,0,8.6973319,1,0,0,0,1,0,0,0,0,0,1,0,0,1,.8108108,.31813516
.2932552,1.093863,.631619,.2937576,1,7.921287,0,0,0,0,1,0,0,0,0,1,0,0,0,0,.3333333,0
-2.219911,-.5350919,.1938148,.0753276,1,8.4018872,1,1,0,0,0,1,0,1,0,1,0,0,1,0,.6111111,.15668336
-.959729,-1.514784,-.3873254,-.3011233,0,3.1217298,0,0,0,0,0,0,0,1,0,0,0,0,0,1,.7391304,.18860212
-.3089449,-.2934174,.229799,.2805557,1,6.119757,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.75,0
.0837248,-.4517352,.1784219,-.4773475,0,8.3700252,0,1,0,0,1,0,0,0,0,0,1,0,0,1,.7619048,.16574368
.5451718,.6596881,1.395878,.2553521,0,7.8687648,1,0,1,0,1,0,0,0,0,0,1,0,0,1,.8108108,.31813516
-.6892188,-.8405335,.9414806,-.7047783,1,7.1071646,1,0,0,1,0,0,1,0,1,0,0,1,0,1,.84,.32447398
.0839247,.81021,.2321979,.1539382,0,8.9913537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.01365126
-.0886179,.7138605,.5120728,.8566336,1,9.3720026,1,0,0,0,1,0,0,0,0,0,0,0,0,1,.8571429,.21692954
-.8879526,-.2166573,-.08626,-.4537441,0,7.8233808,1,0,0,0,0,0,0,0,0,0,0,0,0,1,.5,.08057165
.8240795,.5323542,.3659382,.3745681,1,8.897612,0,0,0,0,0,0,0,0,0,0,1,0,0,1,.7368421,.08477957
.8812602,-.1103123,.6799977,.654006,1,7.5157255,0,1,0,0,0,1,0,0,0,1,0,0,0,0,.8421053,.1972524
-1.520743,-1.685295,-.9582703,-.6037645,0,7.7334812,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,.09735526
1.180361,.492375,.2150052,.4693814,0,6.9524118,0,0,1,0,1,0,0,0,0,0,1,0,0,0,.4615385,.29920655
.3872243,-.1534899,.8271316,.6630075,0,9.1450716,1,1,0,0,0,1,0,0,0,1,0,0,1,0,.5,.12517746
.6903238,.9243513,1.539014,1.904776,0,7.0275157,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.24855048
1.014616,1.310151,.18302,1.603735,1,6.6709952,0,0,0,0,0,0,0,0,0,1,0,0,0,1,.7777778,.11880343
-1.948801,-1.855607,.5708466,.7162148,0,6.474789,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,.12780535
1.778763,1.220198,.4395052,.5895973,1,9.1638977,0,0,0,0,0,0,0,0,0,0,1,0,0,1,.25,.1438726
1.712385,.793819,2.523374,1.78596,1,7.2716147,0,0,1,0,0,1,0,0,0,0,1,0,0,0,.7142857,.08627617
.9446394,.3878296,1.693145,1.286492,1,9.6222596,0,0,0,0,0,0,0,0,0,1,0,0,0,1,.7272727,.21739165
1.03361,1.124248,.1948147,1.560329,0,8.674471,1,1,0,0,0,1,0,1,0,0,1,0,0,1,.7619048,.16574368
.97163,.8365965,-.410915,.3539653,0,8.7325672,0,0,0,1,0,0,1,0,1,0,0,1,0,0,.3333333,0
-.1210073,.0637976,.5426591,.5073864,1,7.8894097,0,0,0,0,1,0,0,0,0,0,1,0,0,1,.7368421,.12963872
-.6374357,-1.991337,-.8984972,-.9424106,1,8.4810673,1,1,0,0,0,0,0,0,0,1,0,0,0,1,.8,.09047306
1.222147,-.6504322,.3413489,.8232294,0,7.3362132,1,1,0,0,0,1,0,0,0,0,1,0,0,1,.6666667,.03791952
.166897,.8158071,.6162261,-1.612502,1,8.8387214,1,0,0,0,1,0,0,0,0,1,0,0,0,1,.6666667,.03791952
1.511851,.4855786,1.571999,1.104667,1,9.5506775,1,0,1,0,0,1,0,0,0,0,1,0,0,0,.5,0
-.9315383,.0270164,-.2773745,-1.109833,0,9.6224305,1,1,0,0,1,0,0,0,0,0,1,0,0,0,.3333333,0
-.8109783,-.2506396,-.0608712,.1187335,1,4.4783892,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,.15354217
.4350081,.5999193,.5300646,.695612,0,8.9966445,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.5333334,.32381934
1.138975,1.039491,.3165602,1.588933,0,8.7382808,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,.09735526
.6229463,.316666,.1912158,.1279349,0,9.4535659,0,0,1,0,0,0,0,0,0,0,1,0,0,1,.7272727,.21739165
-.3841198,-2.344953,-1.94283,-.7779883,1,7.7672501,0,0,0,0,1,0,0,0,0,1,0,0,0,1,.8108108,.31813516
1.743774,1.802096,1.004053,.8050269,1,9.7493446,1,1,0,0,1,0,0,0,0,0,1,0,0,1,.85,.18611974
-.3433335,-2.512266,-.9760623,-.8093923,0,8.2278977,1,0,0,1,0,0,1,0,0,0,1,0,0,1,.8,.18182649
.3926223,-.3078099,.1460364,-.0084838,1,8.5287679,0,0,0,1,0,0,1,0,1,0,0,1,0,1,.4285714,.1284174
.67153,.5513446,-.0520751,.6226022,1,8.0961468,1,1,0,0,1,0,0,0,0,0,1,0,0,0,.5,0
-.0258387,.7912202,.5396606,.0933303,0,8.6676306,1,0,1,0,0,1,0,1,0,0,1,0,0,1,.85,.18611974
